_id,dob,lan,tweet_id,number_of_days_between_birth_and_tweet,
Ashleyisalive,7/1/2015,en,Ashleyisalive/status/560566334162239489,21,
Victoia_XIII,5/2/2015,en,Victoia_XIII/status/563682145181650944,0,
LizGordonCanlas,10/12/2014,en,LizGordonCanlas /status/542922815889223680,0,
BridezillaMarty,19/11/2014,en,BridezillaMarty/status/535873797824716800,2,
emmapayn7,17/11/2014,en,emmapayn7/status/534328987770580992,0,
AnitaHeeg,12/10/2014,en,HeegSytse/status/522055456618192897,2,
walkerbuffyLFC,26/08/2014,en,walkerbuffyLFC/status/503980126582104064,0,
ajwiseman09,1/10/2014,en,ajwiseman09/status/517567858357063680,0,
uneamino,27/09/2014,en,uneamino/status/515940352315121664,0,
KarolinaSky,4/9/2014,en,KarolinaSky/status/507581094095380480,0,
_Georgethecat,2/9/2014,en,_Georgethecat/status/506794113032028162,0,
SereneOnScene,17/2/2015,en,ereneOnScene/status/569206141642788864,4,
Prettyfield0923,29/1/2015,en,Prettyfield0923/status/565295518252036097,12,
placate123,28/1/2015,en,kentsuits/status/560887132873818112,1,
Meg02129,26/1/2015,en,Meg02129/status/560119131899695104,1,
KazzcGillan,24/1/2015,en,KazzcGillan/status/559813699007807488,1,
swallowMEtweets,24/1/2015,en,swallowMEtweets/status/559103207566503937,1,
ToddlerSlave,16/1/2015,en,ToddlerSlave/status/556013255588859904,1,
ohmy_jaee,11/1/2015,en,ohmy_jaee/status/554300180498231296,1,
RenaeDeLiz,8/1/2015,en,RayDillon/status/553401115014742016,0,
marissuss,4/1/2015,en,marissuss/status/551892537183436800,1,
FreshStitches,4/1/2015,en,FreshStitches/status/551880108496392192,0,
MrsCarterRolep,4/1/2015,en,MrsCarterRolep/status/551748583247343616,0,
TamekaxLeigh,2/1/2015,en,TamekaxLeigh/status/551206894074093568,0,
KatieKinslow,1/1/2015,en,KatieKinslow/status/550712102592450560,0,
MommaTBlog,29/12/2014,en,MommaTBlog/status/549635927229079552a,0,
SoCalBri12,19/12/2014,en,SoCalBri12/status/546798990474227712,9,
Tinny1_4_3,15/12/2014,en,Tinny1_4_3/status/544590586385559552,0,
GourmetMum,2/12/2014,en,GourmetMum/status/544589603311611904,0,
Graceann_Branch,11/12/2014,en,Graceann_Branch/status/543236156129689601,0,
TinsleyJennifer,11/8/2014,en,TinsleyJennifer/status/543144102716784641,,
NikkieMoncrief,9/12/2014,en,NikkieMoncrief/status/542551654642372608,,
nicole_frei,15/12/2014,en,nicole_frei/status/541109006857949184,,
LoveVanessaLynn,11/11/2014,en,LoveVanessaLynn/status/532460908594085888,0,
MommaCanuck,14/12/2014,en,MommaCanuck/status/543241571148120064,,
RobynRidpath,29/10/2014,en,RobynRidpath/status/527955792537067520,0,
Daniella1W,26/10/2014,en,Daniella1W/status/526409483632013312,0,
emmalou13,23/10/2014,en,emmalou13/status/525394484457390084,0,
LifesaBowl,19/10/2014,en,LifesaBowl/status/523774466149871616,,Premature baby
_ellie2015,9/4/2014,en,_ellie2015/status/520332583339827200,,Calculation
TweetsByKristen,3/10/2014,en,TweetsByKristen/status/518489781945524224,,
celery_cupcakes,3/10/2014,en,celery_cupcakes/status/518366573875441664,,
ButterCYellow,19/09/2014,en,ButterCYellow/status/516427963458658304,,
LuminousChista,14/09/2014,en,LuminousChista/status/514136450359910400,,
samkettle85,21/09/2014,en,chrisgreatwich/status/514016707984113664,,
amberleonen,20/09/2014,en,amberleonen/status/513319941131735040,1,
TracyHiggs,20/09/2014,en,TracyHiggs/status/513239560776859648,,
josh_stevenson,30/08/2014,en,josh_stevenson/status/494662613922365440,,
mrsamyski,28/07/2014,en,Ski_KC/status/493844900777979904,1,
macey_fit,23/07/2014,en,macey_fit/status/492036431423229952,,
TeenTeacherLA,4/7/2014,en,TeenTeacherLA/status/486995833339256832,,
dizzyblonde18,7/6/2014,en,dizzyblonde18/status/485825003963682816,,
JordanRae87,4/7/2014,en,jaredsparks/status/485098883622518784,,
teachkate,18/06/2014,en,teachkate/status/482614209054654466,,
dahleeezy,24/04/2014,en,dahleeezy/status/481568781051760640,1,
NicoKartel,18/04/2014,en,NicoKartel/status/457148883475652608,1,
Amandeen,16/2/2015,fr,Amandeen/status/568769601766604800,3,
onglerie2movgui,15/08/2014,fr,onglerie2movgui/status/500421128041803776,,
Karisa_Shaffer,15/01/2014,en,Karisa_Shaffer/status/558701401434779648,,
tikalmay,29/11/2013,en,tikalmay/status/406597287276998657,,
chocobea,12/9/2014,fr,chocobea/status/510340573040230401,,
nmillanotero,14/10/2014,es,HoracioJSerpa/status/523285559276748801,,
satchapretto,12/7/2014,es,satchapretto/status/488494283981586432,,
bbmeetstheworld,24/11/2014,fr,bbmeetstheworld/status/536922031204208642,,
Petite_Mam,14/01/2015,fr,Petite_Mam/status/568436140983902208,,
trukmus,17/02/2015,fr,trukmus/status/303283854565851136,,
MumInLearning,8/3/2014,fr,MumInLearning/status/528275429720096768,,
NatOhaBel,2/10/2014,fr,NatOhaBel/status/507866982885363712,,
JulieStPierre1,24/09/2014,fr,JulieStPierre1/status/518362536484560896,,
norkydee,17/07/2014,fr,dareljedid/status/490270635105714176,,
hgudger3,17/02/2015,en,BenTwigger/status/567810783988686848,,
putri_CMS,16/02/2015,en,putri_CMS/status/567369216257302529,,
GenevieveTorri,16/02/2015,en,GenevieveTorri/status/567240269863452673,,
DevannMariexo,28/01/2015,en,DevannMariexo/status/560492400435793921,,
Jenniferanne_xo,27/01/2015,en,andiweimann/status/560121711698665472,,
facemissing,17/01/2015,en,David_J_Davies/status/556600337629716481,,
