_id,dob,lan,tweet_id,number_of_days_between_birth_and_tweet
mgass,25/11/2014,,,
iainfallon,21/11/2014,,,
jonasliu,21/11/2014,,,
Stevieboy_13,18/11/2014,,,
GCP_Rob,11/12/2014,,,
robbyholditch,11/11/2014,,,
anteseven,11/07/2014,,,
Hubbard_BHCSprt,11/03/2014,,,
dspinnier,28/10/2014,,,
doug_cowan,22/10/2014,,,
DjokerNole,22/10/2014,,,
rhammett,17/10/2014,,,
CoachDay_,17/10/2014,,,
LarryWatkins,28/09/2014,,,
FrekdiTan,25/09/2014,,,
chrisgreatwich,21/09/2014,,,
plestee,19/09/2014,,,
SterkviewDairy,9/07/2014,,,
adcustom,24/08/2014,,,
keithirizarry,16/08/2014,,,
davidmolnar,13/07/2014,,,
jaredsparks,7/04/2014,,,
_paulcox_,13/02/2014,,,
pntaylor,2/01/2014,,,
13decembre,26/2/2014,,,
miskaw,25/2/2015,,,
RossElvizMuller,29/10/2014,,,
Sixto_Zetina,29/10/2014,,,
BiZzle80967593,5/05/2014,,,
elchiguireverde,7/07/2014,,,
alitomorenoc,21/02/2014,,,
garay_omar,26/12/2014,,,
CristobalPlatz,21/10/2014,,,
JosueGimenez,9/09/2014,,,
danielsuchar,6/12/2014,,,
ShapeyFiend,27/09/2014,en,uneamino/status/515940352315121664,
scw66,25/09/2014,en,scw66/status/515240987393019904,
brrian,11/9/2014,en,brrian/status/510167777370329088 ,
PastelArtsYann,23/09/2014,fr,PastelArtsYann/status/382292783505354752,
lucdenoncourt,5/10/2014,fr,lucdenoncourt/status/244454880985612288,
LeoMessiLMJDM,27/03/2014,fr,LeoMessiLMJDM/status/449186662355312640,
GerrySklavounos,,fr,GerrySklavounos/status/512974811812098048,
dareljedid,17/07/2014,fr,dareljedid/status/490270635105714176,
BenTwigger,17/02/2015,en,BenTwigger/status/567810783988686848,
gabor ,11/2/2015,en,gabor/status/565568056294785025,
gileshardie,11/2/2015,en,gileshardie/status/565435130840645633,
David_J_Davies,17/01/2015,en,David_J_Davies/status/556600337629716481,