_id,dob,lan,tweet_id
mgass,23/11/2014,en,mgass/status/537191530646491136
iainfallon,19/11/2014,en,iainfallon/status/535842310886797312
jonasliu,21/11/2014,en,jonasliu/status/535826231049338880
Stevieboy_13,17/11/2014,en,Stevieboy_13/status/534654221375639552
GCP_Rob,12/11/2014,en,GCP_Rob/status/532679999862894592
robbyholditch,11/11/2014,en,robbyholditch/status/532322574881931265
anteseven,7/11/2014,en,anteseven/status/530856555559022592
Hubbard_BHCSprt,3/11/2014,en,Hubbard_BHCSprt/status/529340665046773760
dspinnier,26/10/2014,en,dspinnier/status/526678136792956929
doug_cowan,22/10/2014,en,doug_cowan/status/524965639933669376
DjokerNole,22/10/2014,en,DjokerNole/status/524824813723213824
rhammett,16/10/2014,en,rhammett/status/523113005626974208
CoachDay_,17/10/2014,en,CoachDay_/status/523090486454927361
FrekdiTan,25/09/2014,en,FrekdiTan/status/515168332337520640
chrisgreatwich,21/09/2014,en,chrisgreatwich/status/514016707984113664
plestee,19/09/2014,en,plestee/status/513039887881474048
SterkviewDairy,6/9/2014,en,SterkviewDairy/status/508645791976927232
adcustom,24/08/2014,en,adcustom/status/503916206936444928
keithirizarry,16/08/2014,en,keithirizarry/status/500763758986555392
davidmolnar,13/07/2014,en,davidmolnar/status/488460417602035713
jaredsparks,4/7/2014,en,jaredsparks/status/485098883622518784
_paulcox_,13/02/2014,en,_paulcox_/status/433978621544259587
pntaylor,31/1/2014,en,pntaylor/status/429805467133837312
13decembre,26/2/2014,en,13decembre/status/438868460349956096
miskaw,25/2/2015,en,miskaw/status/570790764575395841
RossElvizMuller,29/10/2014,en,RossElvizMuller/status/527866114051960832
Sixto_Zetina,29/10/2014,es,Sixto_Zetina/status/549784984413028352
BiZzle80967593,5/5/2014,es,BiZzle80967593/status/497806663030939649
ShapeyFiend,27/09/2014,en,uneamino/status/515940352315121664
scw66,25/09/2014,en,scw66/status/515240987393019904
brrian,8/9/2014,en,brrian/status/510167777370329088 
PastelArtsYann,23/09/2014,fr,PastelArtsYann/status/382292783505354752
lucdenoncourt,5/10/2014,fr,lucdenoncourt/status/244454880985612288
LeoMessiLMJDM,27/03/2014,fr,LeoMessiLMJDM/status/449186662355312640
dareljedid,17/07/2014,fr,dareljedid/status/490270635105714176
BenTwigger,17/02/2015,en,BenTwigger/status/567810783988686848
gabor,11/2/2015,en,gabor/status/565568056294785025
gileshardie,10/2/2015,en,gileshardie/status/565435130840645633
David_J_Davies,17/01/2015,en,David_J_Davies/status/556600337629716481
natekuester,9/4/2015,en,natekuester/status/586553715672219649
kisoku,10/4/2015,en,kisoku/status/586478829884977154
albertamaya1,4/4/2015,en,albertamaya1/status/584470066780971010
deezolTV,30/03/2015,en,deezolTV/status/583018070509256704
TaylorGang_Ivan,23/3/2015,en,JesseDoesIt69/status/580215509913763841
OrdinaryDevin,21/3/2015,en,OrdinaryDevin/status/579208934336172032
marco_cerato,13/3/2015,en,marco_cerato/status/577786019895992320
HBPMA11,10/3/2015,en,ayyee_ceee_/status/575289069158203392
lewismason8,9/03/2015,en,lewismason8/status/574913798693322752
TeemosShrooms,2/3/2015,en,TeemosShrooms/status/574783519395737600
RichGuySlim,4/4/2015,en,RichGuySlim/status/584384470612054019
DDunc25,2/4/2015,en,DDunc25/status/583660841611952128
Obey_ShooKI,2/4/2015,en,Obey_ShooKI/status/583577536430374913
BrandonTierney,5/1/2015,en,BrandonTierney/status/582659970056859648
justin_lopez12,29/3/2015,en,justin_lopez12/status/582260833264254976
MANICMCIE,28/3/2015,en,MANICMCIE/status/582244609637507072
victorguzun,27/3/2015,en,victorguzun/status/581549628165865474
SpreewellOG,24/3/2015,en,SpreewellOG/status/580947940094709760
Granville91,27/2/2015,en,Granville91/status/571777528907624450
DBlock_4O,25/2/2015,en,ps_imKY/status/570838995317481472
jackban1984,9/4/2015,en,jackban1984/status/586201043324776448
Rickii_Ricon1,3/4/2015,en,Rickii_Ricon1/status/585290673433157632
TheWiltshire_,2/4/2015,en,TheWiltshire_/status/583902219021459456
hakonatli,28/3/2015,en,hakonatli/status/581839789265166336
AndySpurs72,22/3/2015,en,AndySpurs72/status/580104570845704193
Hedley3105,22/3/2015,en,Hedley3105/status/579684888145707008
shift9,17/3/2015,en,shift9/status/578224519816437760
stevetervet,15/3/2015,en,stevetervet/status/577374020087197696
daniel_j_porter,9/3/2015,en,ruthoporter/status/575729207466131456
JuanCamachoSINY,7/3/2014,en,JuanCamachoSINY/status/574231135762259969
techartistsorg,6/3/2015,en,techartistsorg/status/574062598313771008
SakheeShamsudin,14/1/2015,en,SakheeShamsudin/status/555662164745134082
brendenseth,16/3/2015,en,brendenseth/status/579994863321509888
tomwilliams,24/3/2015,en,tomwilliams/status/580779526709383168
Todd_Hendricks,7/4/2014,en,Todd_Hendricks/status/585438620770770944
dawkesyy,3/4/2015,en,dawkesyy/status/585712761402961920
Lumacas,9/4/2015,en,Lumacas/status/586086898822701056
Sander_Spies,10/4/2015,en,Sander_Spies/status/586555827974234112
GerrySklavounos,18/09/2014,fr,GerrySklavounos/status/512974811812098048
ClaytonRob91,26/08/2014,en,walkerbuffyLFC/status/503980126582104064
kentsuits,28/1/2015,en,kentsuits/status/560887132873818112
SwagginAzzQuel,24/1/2015,en,swallowMEtweets/status/559103207566503937
RayDillon,8/1/2015,en,RayDillon/status/553401115014742016
jimmckeemusic,23/10/2014,en,emmalou13/status/525394484457390084
BrandynB2,9/4/2014,en,_ellie2015/status/520332583339827200
josh_stevenson,30/07/2014,en,josh_stevenson/status/494662613922365440
Ski_KC,28/07/2014,en,Ski_KC/status/493844900777979904
idriselba,18/04/2014,en,NicoKartel/status/457148883475652608